2014-10-03 23:14:02 status unpacked findutils:armhf 4.4.2-4
2014-10-03 23:14:02 status unpacked findutils:armhf 4.4.2-4
2014-10-03 23:14:02 install gcc-4.5-base:armhf <none> 4.5.3-12+rpi1
2014-10-03 23:14:02 status half-installed gcc-4.5-base:armhf 4.5.3-12+rpi1
2014-10-03 23:14:02 status unpacked gcc-4.5-base:armhf 4.5.3-12+rpi1
2014-10-03 23:14:02 status unpacked gcc-4.5-base:armhf 4.5.3-12+rpi1
2014-10-03 23:14:02 install gcc-4.6-base:armhf <none> 4.6.3-14+rpi1
2014-10-03 23:14:02 status half-installed gcc-4.6-base:armhf 4.6.3-14+rpi1
2014-10-03 23:14:02 status unpacked gcc-4.6-base:armhf 4.6.3-14+rpi1
2014-10-03 23:14:02 status unpacked gcc-4.6-base:armhf 4.6.3-14+rpi1
2014-10-03 23:14:02 install gcc-4.7-base:armhf <none> 4.7.2-5+rpi1
2014-10-03 23:14:02 status half-installed gcc-4.7-base:armhf 4.7.2-5+rpi1
2014-10-03 23:14:02 status unpacked gcc-4.7-base:armhf 4.7.2-5+rpi1
2014-10-03 23:14:02 status unpacked gcc-4.7-base:armhf 4.7.2-5+rpi1
2014-10-03 23:14:02 install grep:armhf <none> 2.12-2
2014-10-03 23:14:02 status half-installed grep:armhf 2.12-2
2014-10-03 23:14:03 status unpacked grep:armhf 2.12-2
2014-10-03 23:14:03 status unpacked grep:armhf 2.12-2
2014-10-03 23:14:03 install gzip:armhf <none> 1.5-1.1
2014-10-03 23:14:03 status half-installed gzip:armhf 1.5-1.1
2014-10-03 23:14:03 status unpacked gzip:armhf 1.5-1.1
2014-10-03 23:14:03 status unpacked gzip:armhf 1.5-1.1
2014-10-03 23:14:03 install hostname:armhf <none> 3.11
2014-10-03 23:14:03 status half-installed hostname:armhf 3.11
2014-10-03 23:14:03 status unpacked hostname:armhf 3.11
2014-10-03 23:14:03 status unpacked hostname:armhf 3.11
2014-10-03 23:14:03 install initramfs-tools:all <none> 0.115~bpo70+1
2014-10-03 23:14:03 status half-installed initramfs-tools:all 0.115~bpo70+1
2014-10-03 23:14:03 status unpacked initramfs-tools:all 0.115~bpo70+1
2014-10-03 23:14:03 status unpacked initramfs-tools:all 0.115~bpo70+1
2014-10-03 23:14:04 install initscripts:armhf <none> 2.88dsf-41+deb7u1
2014-10-03 23:14:04 status half-installed initscripts:armhf 2.88dsf-41+deb7u1
2014-10-03 23:14:04 status unpacked initscripts:armhf 2.88dsf-41+deb7u1
2014-10-03 23:14:04 status unpacked initscripts:armhf 2.88dsf-41+deb7u1
2014-10-03 23:14:04 install insserv:armhf <none> 1.14.0-5
2014-10-03 23:14:04 status half-installed insserv:armhf 1.14.0-5
2014-10-03 23:14:04 status unpacked insserv:armhf 1.14.0-5
2014-10-03 23:14:04 status unpacked insserv:armhf 1.14.0-5
2014-10-03 23:14:04 install klibc-utils:armhf <none> 2.0.1-3.1+rpi1
2014-10-03 23:14:04 status half-installed klibc-utils:armhf 2.0.1-3.1+rpi1
2014-10-03 23:14:04 status unpacked klibc-utils:armhf 2.0.1-3.1+rpi1
2014-10-03 23:14:04 status unpacked klibc-utils:armhf 2.0.1-3.1+rpi1
2014-10-03 23:14:05 install kmod:armhf <none> 9-3
2014-10-03 23:14:05 status half-installed kmod:armhf 9-3
2014-10-03 23:14:05 status unpacked kmod:armhf 9-3
2014-10-03 23:14:05 status unpacked kmod:armhf 9-3
2014-10-03 23:14:05 install libacl1:armhf <none> 2.2.51-8
2014-10-03 23:14:05 status half-installed libacl1:armhf 2.2.51-8
2014-10-03 23:14:05 status unpacked libacl1:armhf 2.2.51-8
2014-10-03 23:14:05 status unpacked libacl1:armhf 2.2.51-8
2014-10-03 23:14:05 install libattr1:armhf <none> 1:2.4.46-8
2014-10-03 23:14:05 status half-installed libattr1:armhf 1:2.4.46-8
2014-10-03 23:14:05 status unpacked libattr1:armhf 1:2.4.46-8
2014-10-03 23:14:05 status unpacked libattr1:armhf 1:2.4.46-8
2014-10-03 23:14:05 install libblkid1:armhf <none> 2.20.1-5.3
2014-10-03 23:14:05 status half-installed libblkid1:armhf 2.20.1-5.3
